Value,Cell,Alignment ,Type
3.72642106,231,Random,231_RM
50.8379652,231,Random,231_RM
42.5468382,231,Random,231_RM
29.4257578,231,Random,231_RM
22.6715957,231,Random,231_RM
6.67438785,231,Random,231_RM
4.77753881,231,Random,231_RM
5.2563364,231,Random,231_RM
12.4833603,231,Random,231_RM
12.8673841,231,Random,231_RM
5.48442827,231,Random,231_RM
7.70093857,231,Random,231_RM
7.07531865,231,Random,231_RM
32.930633,231,Random,231_RM
13.0851608,231,Random,231_RM
14.4549632,231,Random,231_RM
13.8109104,231,Random,231_RM
6.42349901,231,Random,231_RM
3.89831395,231,Random,231_RM
8.05003448,231,Random,231_RM
27.6056464,231,Random,231_RM
5.78292524,231,Random,231_RM
19.3131154,231,Random,231_RM
23.5576414,231,Random,231_RM
16.8996417,231,Random,231_RM
19.1799194,231,Random,231_RM
13.4498819,231,Random,231_RM
4.83891059,231,Random,231_RM
6.51184873,231,Random,231_RM
56.1713139,231,Random,231_RM
10.9598537,231,Random,231_RM
47.1438171,231,Random,231_RM
61.7816598,231,Random,231_RM
26.9847415,231,Random,231_RM
14.0413827,231,Random,231_RM
34.7265589,231,Random,231_RM
32.3028616,231,Random,231_RM
5.63996349,231,Random,231_RM
5.22383469,231,Random,231_RM
66.7501042,231,Random,231_RM
7.65532934,231,Random,231_RM
5.04902732,231,Random,231_RM
41.3380795,231,Random,231_RM
33.8460065,231,Random,231_RM
17.6649427,231,Random,231_RM
65.5244689,231,Random,231_RM
59.5000239,231,Random,231_RM
6.48946377,231,Random,231_RM
17.5180136,231,Random,231_RM
6.72158399,231,Random,231_RM
9.1076373,231,Random,231_RM
19.713207,231,Random,231_RM
13.8908525,231,Random,231_RM
18.7131612,231,Random,231_RM
47.5385678,231,Random,231_RM
82.1438937,231,Random,231_RM
17.1434808,231,Random,231_RM
66.3916545,231,Random,231_RM
8.06274525,231,Random,231_RM
5.36890221,231,Random,231_RM
25.9572142,231,Random,231_RM
63.0610372,231,Random,231_RM
4.42679492,231,Random,231_RM
11.1735716,231,Random,231_RM
10.0615246,231,Random,231_RM
77.9868633,231,Random,231_RM
41.7009086,231,Random,231_RM
36.9486998,231,Random,231_RM
38.1090569,231,Random,231_RM
33.8392773,231,Random,231_RM
28.1528501,231,Random,231_RM
31.2375835,231,Random,231_RM
8.56777309,231,Random,231_RM
6.64057386,231,Random,231_RM
33.3907689,231,Random,231_RM
11.2491037,231,Random,231_RM
26.1748689,231,Random,231_RM
39.7745334,231,Random,231_RM
11.8720227,231,Random,231_RM
80.0081498,231,Random,231_RM
4.56728474,231,Random,231_RM
78.9116055,231,Random,231_RM
15.6090641,231,Random,231_RM
14.2451364,231,Random,231_RM
26.5215081,231,Random,231_RM
17.0503551,231,Random,231_RM
6.53369967,231,Random,231_RM
52.276296,231,Random,231_RM
8.81754804,231,Random,231_RM
22.4120093,231,Random,231_RM
28.4184639,231,Random,231_RM
9.21010164,231,Random,231_RM
24.656291,231,Random,231_RM
38.6374616,231,Random,231_RM
13.5739378,231,Random,231_RM
9.76876496,231,Random,231_RM
58.345511,231,Random,231_RM
14.4443582,231,Random,231_RM
71.9121398,231,Random,231_RM
5.03785773,231,Random,231_RM
14.2648511,231,Random,231_RM
24.5363093,231,Random,231_RM
74.4610375,231,Random,231_RM
31.203678,231,Random,231_RM
94.7357305,231,Random,231_RM
7.28027784,231,Random,231_RM
3.39360654,231,Random,231_RM
25.9351496,231,Random,231_RM
26.1141837,231,Random,231_RM
3.75382627,231,Random,231_RM
73.1415134,231,Random,231_RM
13.3402307,231,Random,231_RM
47.3591524,231,Random,231_RM
3.81280239,231,Random,231_RM
5.22525378,231,Random,231_RM
12.1786834,231,Random,231_RM
16.8445414,231,Random,231_RM
22.2940112,231,Random,231_RM
14.4828262,231,Random,231_RM
8.02682551,231,Random,231_RM
11.0236822,231,Random,231_RM
84.5826216,231,Random,231_RM
10.7022814,231,Random,231_RM
41.3046929,231,Random,231_RM
8.33366918,231,Random,231_RM
50.697094,231,Random,231_RM
6.02987727,231,Random,231_RM
57.5444582,231,Random,231_RM
15.6007632,231,Random,231_RM
77.8833615,231,Random,231_RM
68.8546286,231,Random,231_RM
67.9343109,231,Random,231_RM
14.8081486,231,Random,231_RM
12.1867096,231,Random,231_RM
13.2115208,231,Random,231_RM
52.4404374,231,Random,231_RM
9.85168247,231,Random,231_RM
3.46588852,231,Random,231_RM
6.82410938,231,Random,231_RM
22.502541,231,Random,231_RM
56.832869,231,Random,231_RM
53.0245984,231,Random,231_RM
8.29616251,231,Random,231_RM
71.2931729,231,Random,231_RM
54.3515383,231,Random,231_RM
23.8127722,231,Random,231_RM
14.5258414,231,Random,231_RM
12.0382088,231,Random,231_RM
7.22420095,231,Random,231_RM
11.2709699,231,Random,231_RM
33.3961859,231,Random,231_RM
3.24837116,231,Random,231_RM
77.8557273,231,Random,231_RM
3.71772343,231,Random,231_RM
12.4160527,231,Random,231_RM
52.735791,231,Random,231_RM
13.8718245,231,Random,231_RM
4.75371948,231,Random,231_RM
37.8853443,231,Random,231_RM
17.038804,231,Random,231_RM
17.293706,231,Random,231_RM
7.82655085,231,Random,231_RM
3.58626695,231,Random,231_RM
26.781003,231,Random,231_RM
13.1873505,231,Random,231_RM
51.0680409,231,Random,231_RM
56.223988,231,Random,231_RM
24.2802781,231,Random,231_RM
71.4876644,231,Random,231_RM
41.20467,231,Random,231_RM
43.437431,231,Random,231_RM
27.9002675,231,Random,231_RM
7.80856045,231,Random,231_RM
82.9662331,231,Random,231_RM
23.4079656,231,Random,231_RM
90.3123383,231,Random,231_RM
8.54651726,231,Random,231_RM
24.3175254,231,Random,231_RM
14.7538265,231,Random,231_RM
16.4241248,231,Random,231_RM
37.2320141,231,Random,231_RM
15.9896394,231,Random,231_RM
24.5456478,231,Random,231_RM
19.8721298,231,Random,231_RM
4.35643557,231,Random,231_RM
48.818388,231,Random,231_RM
9.44156574,231,Random,231_RM
26.0149848,231,Random,231_RM
18.5874422,231,Random,231_RM
64.3976666,231,Random,231_RM
68.1937908,231,Random,231_RM
62.7821481,231,Random,231_RM
5.66309617,231,Random,231_RM
11.0089267,231,Random,231_RM
12.7437097,231,Random,231_RM
28.3735109,231,Random,231_RM
21.0487835,231,Random,231_RM
5.45873207,231,Random,231_RM
9.32312522,231,Random,231_RM
56.0061199,231,Random,231_RM
16.4005038,231,Random,231_RM
15.9500728,231,Random,231_RM
21.9067372,231,Random,231_RM
10.9373161,231,Random,231_RM
35.4260629,231,Random,231_RM
90.8581993,231,Random,231_RM
7.96852079,231,Random,231_RM
52.6892968,231,Random,231_RM
6.61364169,231,Random,231_RM
4.12188914,231,Random,231_RM
6.68195633,231,Random,231_RM
6.36237137,231,Random,231_RM
13.2770583,231,Random,231_RM
8.95118655,231,Random,231_RM
7.86576653,231,Random,231_RM
30.2733965,231,Random,231_RM
3.68964682,231,Random,231_RM
57.008012,231,Random,231_RM
