Value,Cell,Alignment,Type
0.493741691,231,Aligned,231_AM
0.242780655,231,Aligned,231_AM
0.480692099,231,Aligned,231_AM
0.505041793,231,Aligned,231_AM
0.356809702,231,Aligned,231_AM
0.004022459,231,Aligned,231_AM
0.029080301,231,Aligned,231_AM
0.544765585,231,Aligned,231_AM
0.151592359,231,Aligned,231_AM
0.033359101,231,Aligned,231_AM
0.323498274,231,Aligned,231_AM
0.320115465,231,Aligned,231_AM
0.194021997,231,Aligned,231_AM
0.42751768,231,Aligned,231_AM
0.017414362,231,Aligned,231_AM
0.098290645,231,Aligned,231_AM
0.191470619,231,Aligned,231_AM
0.111376528,231,Aligned,231_AM
0.257072196,231,Aligned,231_AM
0.122961859,231,Aligned,231_AM
0.198911558,231,Aligned,231_AM
0.303180266,231,Aligned,231_AM
0.453599173,231,Aligned,231_AM
0.34008806,231,Aligned,231_AM
0.711329839,231,Aligned,231_AM
0.281802134,231,Aligned,231_AM
0.321965441,231,Aligned,231_AM
0.278423155,231,Aligned,231_AM
0.197696782,231,Aligned,231_AM
0.605767023,231,Aligned,231_AM
0.028362669,231,Aligned,231_AM
0.294468563,231,Aligned,231_AM
0.037873707,231,Aligned,231_AM
0.149661409,231,Aligned,231_AM
0.088204954,231,Aligned,231_AM
0.463701642,231,Aligned,231_AM
0.071577052,231,Aligned,231_AM
0.270906167,231,Aligned,231_AM
0.9090798,231,Aligned,231_AM
0.082957397,231,Aligned,231_AM
0.024182168,231,Aligned,231_AM
0.107217729,231,Aligned,231_AM
0.070492124,231,Aligned,231_AM
0.009417737,231,Aligned,231_AM
0.781114469,231,Aligned,231_AM
0.636179292,231,Aligned,231_AM
0.739128723,231,Aligned,231_AM
0.360907042,231,Aligned,231_AM
0.288344528,231,Aligned,231_AM
0.798025048,231,Aligned,231_AM
0.03452719,231,Aligned,231_AM
0.001744639,231,Aligned,231_AM
0.650142199,231,Aligned,231_AM
0.38606993,231,Aligned,231_AM
0.176293847,231,Aligned,231_AM
0.150789559,231,Aligned,231_AM
0.174193109,231,Aligned,231_AM
0.215256603,231,Aligned,231_AM
0.065064019,231,Aligned,231_AM
0.851547066,231,Aligned,231_AM
0.612346985,231,Aligned,231_AM
0.268715156,231,Aligned,231_AM
0.740867819,231,Aligned,231_AM
0.24711143,231,Aligned,231_AM
0.54608723,231,Aligned,231_AM
0.64090399,231,Aligned,231_AM
0.092994759,231,Aligned,231_AM
0.073892075,231,Aligned,231_AM
0.410475795,231,Aligned,231_AM
0.263439514,231,Aligned,231_AM
0.393246066,231,Aligned,231_AM
0.000848648,231,Aligned,231_AM
0.334935519,231,Aligned,231_AM
0.01921601,231,Aligned,231_AM
0.255670124,231,Aligned,231_AM
0.044898839,231,Aligned,231_AM
0.230434652,231,Aligned,231_AM
0.206982408,231,Aligned,231_AM
0.158538341,231,Aligned,231_AM
0.629561942,231,Aligned,231_AM
0.713318053,231,Aligned,231_AM
0.268863424,231,Aligned,231_AM
0.743473177,231,Aligned,231_AM
0.566756303,231,Aligned,231_AM
0.642391775,231,Aligned,231_AM
0.09718675,231,Aligned,231_AM
0.110570446,231,Aligned,231_AM
0.068087921,231,Aligned,231_AM
0.012771549,231,Aligned,231_AM
0.018651753,231,Aligned,231_AM
0.422037782,231,Aligned,231_AM
0.04774584,231,Aligned,231_AM
0.01901303,231,Aligned,231_AM
0.031838305,231,Aligned,231_AM
0.267304148,231,Aligned,231_AM
0.030194956,231,Aligned,231_AM
